#      WAVE        LUMINOSITY
       4339.1722       1.9387501
       4340.1715       2.1634709
       4341.1709       2.3256630
       4342.1706       2.3269448
       4343.1706       2.0874644
       4344.1707       1.7933943
       4345.1711       1.6414805
       4346.1718       1.7047778
       4347.1726       1.7352342
       4348.1737       1.7919887
       4349.1750       1.8396465
       4350.1766       1.8067655
       4351.1784       1.7928510
       4352.1804       1.7956661
       4353.1826       1.8184134
       4354.1851       1.8455548
       4355.1878       1.8996137
       4356.1907       1.9751572
       4357.1939       1.9861161
       4358.1973       2.0111554
       4359.2009       2.0458982
       4360.2048       2.0492484
       4361.2089       2.0438610
       4362.2132       2.0702922
       4363.2177       2.0947175
       4364.2225       2.1397005
       4365.2275       2.1925390
       4366.2328       2.1488473
       4367.2383       2.0828530
       4368.2440       2.0895066
       4369.2499       2.0904371
       4370.2561       2.0441430
       4371.2625       2.0323253
       4372.2691       2.0343430
       4373.2760       2.0415178
       4374.2831       2.0106758
       4375.2904       2.0069523
       4376.2980       2.0089077
       4377.3058       2.0532559
       4378.3138       2.0900778
       4379.3221       2.1105851
       4380.3306       2.1244739
       4381.3393       2.0850689
       4382.3483       1.9712355
       4383.3574       1.8966987
       4384.3669       1.8562442
       4385.3765       1.8296265
       4386.3864       1.8808459
       4387.3965       1.9418846
       4388.4069       1.9969494
       4389.4175       2.0010850
       4390.4283       2.0190354
       4391.4393       2.0459019
       4392.4506       2.0184575
       4393.4621       2.0693312
       4394.4739       2.0681421
       4395.4859       2.0332134
       4396.4981       2.0586634
       4397.5105       2.0801277
       4398.5232       2.0874779
       4399.5361       2.0737162
       4400.5493       2.0679654
       4401.5626       2.0840250
       4402.5763       2.0557077
       4403.5901       2.0390913
       4404.6042       2.0008010
       4405.6185       2.0036477
       4406.6330       1.9907300
       4407.6478       2.0162031
       4408.6628       2.0391834
       4409.6781       2.0724406
       4410.6936       2.1275028
       4411.7093       2.1345947
       4412.7252       2.1510470
       4413.7414       2.1427518
       4414.7578       2.0792974
       4415.7745       2.0365546
       4416.7914       2.0432927
       4417.8085       2.0354543
       4418.8259       2.0862868
       4419.8434       2.1365784
       4420.8613       2.1255194
       4421.8793       2.0932386
       4422.8976       2.1012786
       4423.9161       2.0763680
       4424.9349       2.0610307
       4425.9539       2.0633220
       4426.9731       2.0379796
       4427.9926       2.0642768
       4429.0123       2.0856664
       4430.0322       2.0641022
       4431.0524       2.0518294
       4432.0728       2.0570370
       4433.0935       2.0363581
       4434.1143       2.0320818
       4435.1354       2.0148076
       4436.1568       2.0565183
       4437.1784       2.0926996
       4438.2002       2.1250797
       4439.2222       2.1574236
       4440.2445       2.1574998
       4441.2670       2.1494881
       4442.2898       2.0940451
       4443.3128       2.0675078
       4444.3360       2.0699117
       4445.3595       2.0868166
       4446.3832       2.1326087
       4447.4071       2.1671859
       4448.4313       2.1314078
       4449.4557       2.1757007
       4450.4803       2.1796751
       4451.5052       2.1378364
       4452.5303       2.1212082
       4453.5557       2.1142436
       4454.5813       2.0435191
       4455.6071       2.0237351
       4456.6332       2.0434373
       4457.6594       2.0057267
       4458.6860       2.0348960
       4459.7127       2.0338331
       4460.7398       2.0214980
       4461.7670       2.0223266
       4462.7945       2.0409828
       4463.8222       2.0514331
       4464.8501       2.0863846
       4465.8783       2.0992861
       4466.9068       2.0687291
       4467.9354       2.0568779
       4468.9643       2.0862835
       4469.9934       2.0636344
       4471.0228       2.0737628
       4472.0524       2.1494728
       4473.0823       2.1632867
       4474.1124       2.1931862
       4475.1427       2.2140278
       4476.1732       2.2274615
       4477.2040       2.2256266
       4478.2351       2.2216835
       4479.2663       2.1681669
       4480.2978       2.1288831
       4481.3296       2.0275563
       4482.3616       2.0006611
       4483.3938       2.0384833
       4484.4263       2.1357776
       4485.4590       2.2296051
       4486.4919       2.2198188
       4487.5251       2.2097142
       4488.5585       2.1905716
       4489.5921       2.1254737
       4490.6260       2.1051404
       4491.6601       2.1468511
       4492.6945       2.1659886
       4493.7291       2.1643054
       4494.7639       2.1683297
       4495.7990       2.1429029
       4496.8343       2.1567443
       4497.8699       2.1849691
       4498.9057       2.1475249
       4499.9417       2.1645124
       4500.9780       2.1867473
       4502.0145       2.1867934
       4503.0512       2.2274036
       4504.0882       2.2522636
       4505.1254       2.2835849
       4506.1629       2.3033868
       4507.2006       2.2865452
       4508.2385       2.2690766
       4509.2767       2.2430102
       4510.3151       2.2744453
       4511.3538       2.2938040
       4512.3927       2.2425391
       4513.4318       2.2142776
       4514.4712       2.2158885
       4515.5108       2.2142138
       4516.5507       2.2069586
       4517.5908       2.1634705
       4518.6311       2.1980056
       4519.6717       2.2155358
       4520.7125       2.2100113
       4521.7535       2.2137743
       4522.7948       2.1691129
       4523.8364       2.1712439
       4524.8781       2.1505797
       4525.9201       2.1419447
       4526.9624       2.1004383
       4528.0049       2.0490041
       4529.0476       2.0852607
       4530.0906       2.0579166
       4531.1338       2.0443739
       4532.1773       2.0778235
       4533.2209       2.1101445
       4534.2649       2.0590813
       4535.3090       2.0681340
       4536.3535       2.1160489
       4537.3981       2.1872654
       4538.4430       2.2144220
       4539.4881       2.2012370
